1.16.5,https://launcher.mojang.com/v1/objects/1b557e7b033b583cd9f66746b7a9ab1ec1673ced/server.jar,release,1b557e7b033b583cd9f66746b7a9ab1ec1673ced
1.16.4,https://launcher.mojang.com/v1/objects/35139deedbd5182953cf1caa23835da59ca3d7cd/server.jar,release,35139deedbd5182953cf1caa23835da59ca3d7cd
1.16.3,https://launcher.mojang.com/v1/objects/f02f4473dbf152c23d7d484952121db0b36698cb/server.jar,release,f02f4473dbf152c23d7d484952121db0b36698cb
1.16.2,https://launcher.mojang.com/v1/objects/c5f6fb23c3876461d46ec380421e42b289789530/server.jar,release,c5f6fb23c3876461d46ec380421e42b289789530
1.16.1,https://launcher.mojang.com/v1/objects/a412fd69db1f81db3f511c1463fd304675244077/server.jar,release,a412fd69db1f81db3f511c1463fd304675244077
1.16,https://launcher.mojang.com/v1/objects/a0d03225615ba897619220e256a266cb33a44b6b/server.jar,release,a0d03225615ba897619220e256a266cb33a44b6b
1.15.2,https://launcher.mojang.com/v1/objects/bb2b6b1aefcd70dfd1892149ac3a215f6c636b07/server.jar,release,bb2b6b1aefcd70dfd1892149ac3a215f6c636b07
1.15.1,https://launcher.mojang.com/v1/objects/4d1826eebac84847c71a77f9349cc22afd0cf0a1/server.jar,release,4d1826eebac84847c71a77f9349cc22afd0cf0a1
1.15,https://launcher.mojang.com/v1/objects/e9f105b3c5c7e85c7b445249a93362a22f62442d/server.jar,release,e9f105b3c5c7e85c7b445249a93362a22f62442d
1.14.4,https://launcher.mojang.com/v1/objects/3dc3d84a581f14691199cf6831b71ed1296a9fdf/server.jar,release,3dc3d84a581f14691199cf6831b71ed1296a9fdf
1.14.3,https://launcher.mojang.com/v1/objects/d0d0fe2b1dc6ab4c65554cb734270872b72dadd6/server.jar,release,d0d0fe2b1dc6ab4c65554cb734270872b72dadd6
1.14.2,https://launcher.mojang.com/v1/objects/808be3869e2ca6b62378f9f4b33c946621620019/server.jar,release,808be3869e2ca6b62378f9f4b33c946621620019
1.14.1,https://launcher.mojang.com/v1/objects/ed76d597a44c5266be2a7fcd77a8270f1f0bc118/server.jar,release,ed76d597a44c5266be2a7fcd77a8270f1f0bc118
